initial_state,initial_A_ug_m3,initial_B_ug_m3,initial_C_ug_m3,horizon_h,schedule,first_room,second_room,is_fixed_placement,cleaner_capacity_m3_h,cleaner_operating_h,clean_air_budget_m3,final_A_ug_m3,final_B_ug_m3,final_C_ug_m3,integrated_A_ug_h_m3,integrated_B_ug_h_m3,integrated_C_ug_h_m3,J_mean_ug_h_m3,improvement_A_ug_h_m3,improvement_A_percent,improvement_B_ug_h_m3,improvement_B_percent,improvement_C_ug_h_m3,improvement_C_percent,improvement_J_ug_h_m3,improvement_J_percent
"(2, 2, 2.5)",2.0,2.0,2.5,1.0,none,none,none,False,0.0,0.0,0.0,1.8401028732206273,1.9268316527454696,2.1145086912676403,1.9154286806144987,1.978720163178652,2.2914189838694767,2.061855942554209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, 2.5)",2.0,2.0,2.5,1.0,A->A,A,A,True,100.0,1.0,100.0,0.8649811645742932,1.7111351943703363,2.0768097333975093,1.3000291123795682,1.8900554887632044,2.280363351640154,1.823482650927642,0.6153995682349305,32.12855557939651,0.08866467441544756,4.480910240132946,0.011055632229322931,0.4824797344854624,0.23837329162656684,11.5611031162183
"(2, 2, 2.5)",2.0,2.0,2.5,1.0,A->B,A,B,False,100.0,1.0,100.0,1.2342965383141853,1.1891502489471035,2.0050638693721043,1.4098428412299244,1.7302616238572508,2.2667782375942016,1.8022942342271255,0.5055858393845742,26.39544058734542,0.24845853932140116,12.55652739305354,0.024640746275275127,1.0753487881847237,0.25956170832708336,12.5887411904025
"(2, 2, 2.5)",2.0,2.0,2.5,1.0,A->C,A,C,False,100.0,1.0,100.0,1.3026796683222666,1.6730281754581298,1.3295065203987853,1.4229647390109008,1.882774161210585,2.065194766568646,1.7903112222633772,0.49246394160359785,25.710377347258262,0.09594600196806691,4.848891912737045,0.22622421730083087,9.872669245273086,0.27154472029083165,13.169917193848397
"(2, 2, 2.5)",2.0,2.0,2.5,1.0,B->A,B,A,False,100.0,1.0,100.0,1.068188421128149,1.4387573332670183,1.9382646956650018,1.6610002173186098,1.527264925788002,2.208946278714998,1.7990704739405363,0.25442846329588886,13.283108155938457,0.45145523739064997,22.8155171100811,0.08247270515447891,3.599197952668123,0.2627854686136726,12.745093543641863
"(2, 2, 2.5)",2.0,2.0,2.5,1.0,B->B,B,B,True,100.0,1.0,100.0,1.6111940651361822,1.049928407746394,1.8855998831831953,1.8230603094139024,1.4100605015690464,2.1990506126688807,1.8107238078839432,0.09236837120059627,4.822334140416185,0.5686596616096056,28.7387611543868,0.09236837120059604,4.031055509744241,0.25113213467026574,12.17990692206971
"(2, 2, 2.5)",2.0,2.0,2.5,1.0,B->C,B,C,False,100.0,1.0,100.0,1.6626616891257995,1.4251906092031112,1.23356707060158,1.8327910628683708,1.5246726536936435,2.004318986429834,1.7872609009972826,0.08263761774612788,4.314314523034942,0.4540475094850085,22.946524624058934,0.2870999974396429,12.529354057930622,0.27459504155692627,13.317857755705298
"(2, 2, 2.5)",2.0,2.0,2.5,1.0,C->A,C,A,False,100.0,1.0,100.0,1.1582921898019716,1.6505551372037517,1.4629949338185237,1.719829572851766,1.8675917297487157,1.6899825070029115,1.759134603201131,0.1955991077627326,10.211766678777172,0.11112843342993628,5.616177340176165,0.6014364768665652,26.2473376148316,0.3027213393530779,14.681983018564788
"(2, 2, 2.5)",2.0,2.0,2.5,1.0,C->B,C,B,False,100.0,1.0,100.0,1.724274876166096,1.1624247590137762,1.3944892011208108,1.8885893988366345,1.7148570309361526,1.6768798124886313,1.7601087474204729,0.02683928177786421,1.401215406738807,0.26386313224249935,13.335040353489138,0.6145391713808455,26.81915335898477,0.30174719513373605,14.634737030169735
"(2, 2, 2.5)",2.0,2.0,2.5,1.0,C->C,C,C,True,100.0,1.0,100.0,1.7942194107735614,1.6668598616640846,0.9595372583546766,1.9018902881659798,1.8707071673462985,1.5473852033240456,1.7733275529454413,0.013538392448518843,0.7068074413595771,0.10801299583235346,5.458730235954104,0.7440337805454311,32.4704380029616,0.2885283896087676,13.993625046924528
"(2, 2, 2.5)",2.0,2.0,2.5,5.0,none,none,none,False,0.0,0.0,0.0,1.301730950837732,1.314093852272722,1.3266244850216635,8.181312846034352,8.421037316916685,8.973156955727797,8.525169039559612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, 2.5)",2.0,2.0,2.5,5.0,A->A,A,A,True,100.0,5.0,500.0,0.23488851484361808,0.6380483168955111,0.8668066745814326,3.0446236071148323,6.212572572454699,7.899132686076528,5.718776288548686,5.136689238919519,62.785635210238624,2.2084647444619856,26.225566534724756,1.074024269651269,11.96930216366818,2.806392751010926,32.918910322931225
"(2, 2, 2.5)",2.0,2.0,2.5,5.0,A->B,A,B,False,100.0,5.0,500.0,0.39336566137707696,0.2897520474039031,0.6329290110758165,3.431027339085573,5.351449336050631,7.57132609491583,5.451267590017345,4.75028550694878,58.06263122246131,3.0695879808660544,36.45142356393175,1.401830860811967,15.622493485050903,3.0739014495422676,36.05678005067518
"(2, 2, 2.5)",2.0,2.0,2.5,5.0,A->C,A,C,False,100.0,5.0,500.0,0.5496366343687313,0.48178924505104503,0.21124964415655112,3.680688591227641,5.963584784604421,6.402776425004175,5.349016600278746,4.500624254806711,55.01102744149742,2.4574525323122636,29.18230189261346,2.5703805307236216,28.6452197749966,3.176152439280867,37.25618136769448
"(2, 2, 2.5)",2.0,2.0,2.5,5.0,B->A,B,A,False,100.0,5.0,500.0,0.18913893390243008,0.48399868384333544,0.640913083903988,4.800323879051066,4.170731159050671,6.574087492702244,5.181714176934661,3.3809889669832858,41.32575089855071,4.250306157866014,50.472477414721155,2.399069463025553,26.736069310524712,3.3434548626249514,39.21863422426243
"(2, 2, 2.5)",2.0,2.0,2.5,5.0,B->B,B,B,True,100.0,5.0,500.0,0.4797909431063467,0.2764224525303999,0.5046844772902781,5.594985290308993,3.6735642345834854,6.386829400002437,5.218459641631639,2.586327555725359,31.612622624240608,4.747473082333199,56.37634537963857,2.5863275557253598,28.82293900001872,3.306709397927974,38.78761092693582
"(2, 2, 2.5)",2.0,2.0,2.5,5.0,B->C,B,C,False,100.0,5.0,500.0,0.6079552744223509,0.46776147330423884,0.18668256886888868,5.774123135606091,4.144858311572012,5.5108935506159735,5.143291665931359,2.407189710428261,29.42302483390639,4.276179005344673,50.77971803728298,3.4622634051118233,38.58467451526936,3.381877373628254,39.66932922895981
"(2, 2, 2.5)",2.0,2.0,2.5,5.0,C->A,C,A,False,100.0,5.0,500.0,0.19669777333112198,0.45130320093477405,0.5179895682796554,5.596227474980961,5.721092317364871,3.8927820250913037,5.070033939145712,2.585085371053391,31.59743942937513,2.699944999551814,32.06190517797615,5.080374930636493,56.61747538466447,3.4551351004139006,40.52864036338667
"(2, 2, 2.5)",2.0,2.0,2.5,5.0,C->B,C,B,False,100.0,5.0,500.0,0.5788892264358672,0.26789658089530466,0.369827321185223,6.653451088600098,5.141919759191851,3.6570753051045077,5.150815384298819,1.5278617574342537,18.67501935431841,3.2791175577248337,38.939591814152706,5.316081650623289,59.244273524379814,3.3743536552607933,39.581076217992546
"(2, 2, 2.5)",2.0,2.0,2.5,5.0,C->C,C,C,True,100.0,5.0,500.0,0.794777202860136,0.5876672120140246,0.217326919442272,6.957353605156933,5.938378731908589,3.282414029070014,5.392715455378512,1.2239592408774191,14.96042583765388,2.482658585008096,29.481624312729057,5.690742926657783,63.41962984415685,3.1324535841811008,36.743594990849765
"(2.5, 2, 2)",2.5,2.0,2.0,1.0,none,none,none,False,0.0,0.0,0.0,2.1145086912676403,1.9268316527454696,1.8401028732206268,2.2914189838694767,1.978720163178652,1.9154286806144984,2.061855942554209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2.5, 2, 2)",2.5,2.0,2.0,1.0,A->A,A,A,True,100.0,1.0,100.0,0.9595372583546764,1.6668598616640842,1.7942194107735612,1.5473852033240458,1.8707071673462985,1.9018902881659796,1.7733275529454413,0.7440337805454309,32.470438002961586,0.10801299583235346,5.458730235954104,0.013538392448518843,0.7068074413595772,0.2885283896087676,13.993625046924528
"(2.5, 2, 2)",2.5,2.0,2.0,1.0,A->B,A,B,False,100.0,1.0,100.0,1.3944892011208105,1.162424759013776,1.7242748761660955,1.676879812488631,1.7148570309361526,1.8885893988366345,1.7601087474204729,0.6145391713808457,26.81915335898478,0.26386313224249935,13.335040353489138,0.026839281777863988,1.4012154067387954,0.30174719513373605,14.634737030169735
"(2.5, 2, 2)",2.5,2.0,2.0,1.0,A->C,A,C,False,100.0,1.0,100.0,1.4629949338185235,1.6505551372037515,1.1582921898019718,1.6899825070029115,1.8675917297487157,1.7198295728517659,1.759134603201131,0.6014364768665652,26.2473376148316,0.11112843342993628,5.616177340176165,0.1955991077627326,10.211766678777174,0.3027213393530779,14.681983018564788
